neighbourhood,province,room_type,minimum_nights,accommodates,bedrooms,price
Moncton,New Brunswick,Private room,1,2,1,45.0
Campobello,New Brunswick,Entire home/apt,2,3,1,206.0
Dundas,New Brunswick,Entire home/apt,3,4,1,99.0
City of Saint John,New Brunswick,Entire home/apt,1,5,2,95.0
City of Saint John,New Brunswick,Private room,1,2,1,25.0
Shediac,New Brunswick,Entire home/apt,7,4,2,214.0
Dundas,New Brunswick,Entire home/apt,3,6,4,164.0
Hopewell,New Brunswick,Entire home/apt,1,3,1,164.0
Shippagan,New Brunswick,Entire home/apt,3,4,2,119.0
Dundas,New Brunswick,Entire home/apt,3,6,2,114.0
Moncton,New Brunswick,Entire home/apt,1,5,3,125.0
Glenelg,New Brunswick,Entire home/apt,3,4,2,88.0
Moncton,New Brunswick,Private room,1,2,1,38.0
Chatham,New Brunswick,Entire home/apt,1,4,3,76.0
Richibucto,New Brunswick,Private room,1,2,1,65.0
Shippagan,New Brunswick,Entire home/apt,7,4,2,125.0
Westmorland,New Brunswick,Private room,1,2,1,97.0
Wellington,New Brunswick,Entire home/apt,3,4,2,115.0
Shediac,New Brunswick,Entire home/apt,7,8,3,65.0
City of Saint John,New Brunswick,Private room,1,4,1,131.0
Saint Patrick,New Brunswick,Private room,1,4,1,159.0
Kingsclear,New Brunswick,Private room,1,6,3,76.0
Saint Patrick,New Brunswick,Private room,1,2,1,159.0
Saint Patrick,New Brunswick,Private room,1,2,1,129.0
Saint Patrick,New Brunswick,Private room,1,2,1,129.0
Hillsborough,New Brunswick,Entire home/apt,2,2,1,138.0
Hillsborough,New Brunswick,Entire home/apt,2,2,1,138.0
Moncton,New Brunswick,Entire home/apt,3,4,2,119.0
Beresford,New Brunswick,Entire home/apt,1,4,1,76.0
Fredericton,New Brunswick,Entire home/apt,2,4,2,119.0
Caraquet,New Brunswick,Private room,1,2,3,53.0
Eldon,New Brunswick,Entire home/apt,1,6,3,240.0
Alnwick,New Brunswick,Entire home/apt,1,5,2,127.0
Kingston,New Brunswick,Entire home/apt,1,3,1,89.0
Alnwick,New Brunswick,Entire home/apt,1,5,2,127.0
Moncton,New Brunswick,Entire home/apt,1,8,4,159.0
Moncton,New Brunswick,Entire home/apt,1,3,1,76.0
Pennfield,New Brunswick,Entire home/apt,3,5,3,78.0
Grand Manan,New Brunswick,Private room,1,2,1,90.0
Grand Manan,New Brunswick,Private room,1,2,1,90.0
Fredericton,New Brunswick,Entire home/apt,2,8,4,325.0
Richibucto,New Brunswick,Entire home/apt,1,5,1,99.0
Shediac,New Brunswick,Private room,1,4,1,105.0
City of Saint John,New Brunswick,Entire home/apt,1,6,2,150.0
Shippagan,New Brunswick,Entire home/apt,3,5,3,125.0
City of Saint John,New Brunswick,Private room,1,2,1,85.0
Bathurst,New Brunswick,Entire home/apt,2,7,3,200.0
Eldon,New Brunswick,Entire home/apt,1,4,2,200.0
City of Saint John,New Brunswick,Entire home/apt,1,2,1,85.0
Moncton,New Brunswick,Entire home/apt,2,6,2,130.0
City of Saint John,New Brunswick,Entire home/apt,1,2,1,99.0
Dundas,New Brunswick,Entire home/apt,7,8,3,267.0
